# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
498.83998894,-119179632.383,-82870844.8978,-35963621.9441,17.4358026477,-21.7187668711,-9.36020215654
498.84473783,-119116840.38,-82949027.9851,-35997315.5601,17.4486455793,-21.7162811823,-9.35847413602
498.849591884,-119054002.123,-83027202.1202,-36031002.9636,17.4614986018,-21.7137937223,-9.3567509134
498.854551149,-118991117.579,-83105367.3,-36064684.1732,17.4743609525,-21.7113062987,-9.35503315631
498.859615693,-118928186.714,-83183523.5278,-36098359.2097,17.4872318826,-21.7088207289,-9.35332154089
498.864785605,-118865209.5,-83261670.8136,-36132028.0965,17.5001106572,-21.7063388421,-9.35161675238
498.870060999,-118802185.909,-83339809.1741,-36165690.8593,17.5129965536,-21.7038624812,-9.34991948588
498.875442007,-118739115.917,-83417938.6324,-36199347.5267,17.5258888615,-21.7013935047,-9.34823044726
498.880928784,-118675999.502,-83496059.2184,-36232998.1293,17.5387868817,-21.698933789,-9.34655035386
498.886521507,-118612836.645,-83574170.969,-36266642.7008,17.5516899259,-21.6964852306,-9.34487993531
498.892220376,-118549627.329,-83652273.9278,-36300281.2773,17.5645973159,-21.6940497477,-9.3432199345
498.898025611,-118486371.54,-83730368.1452,-36333913.8977,17.577508383,-21.6916292827,-9.34157110838
498.903937456,-118423069.265,-83808453.679,-36367540.6037,17.5904224673,-21.6892258047,-9.33993422887
498.909956177,-118359720.496,-83886530.5938,-36401161.4395,17.6033389174,-21.6868413116,-9.33831008397
498.916082063,-118296325.223,-83964598.9617,-36434776.4525,17.6162570899,-21.6844778322,-9.33669947863
498.922315425,-118232883.443,-84042658.8619,-36468385.693,17.6291763484,-21.6821374294,-9.33510323584
498.928656599,-118169395.153,-84120710.3814,-36501989.214,17.6420960635,-21.6798222022,-9.33352219778
498.935105943,-118105860.352,-84198753.6145,-36535587.0721,17.6550156121,-21.6775342885,-9.33195722693
498.94166384,-118042279.041,-84276788.6636,-36569179.3264,17.6679343766,-21.6752758681,-9.33040920729
498.948330698,-117978651.226,-84354815.6388,-36602766.0398,17.680851745,-21.6730491655,-9.32887904566
498.955106946,-117914976.911,-84432834.6584,-36636347.2781,17.6937671103,-21.6708564525,-9.32736767295
498.961993043,-117851256.106,-84510845.8489,-36669923.1107,17.7066798694,-21.6687000524,-9.32587604556
498.968989471,-117787488.82,-84588849.3452,-36703493.6105,17.7195894235,-21.6665823421,-9.32440514691
498.976096737,-117723675.067,-84666845.2911,-36737058.8539,17.7324951774,-21.6645057565,-9.32295598895
498.983315378,-117659814.86,-84744833.839,-36770618.921,17.7453965386,-21.6624727916,-9.3215296138
498.990645955,-117595908.217,-84822815.1506,-36804173.8957,17.7582929177,-21.6604860085,-9.32012709549
498.998089058,-117531955.158,-84900789.3968,-36837723.866,17.7711837275,-21.6585480378,-9.31874954178
499.005645307,-117467955.702,-84978756.7583,-36871268.9237,17.7840683822,-21.6566615832,-9.31739809613
499.013315347,-117403909.873,-85056717.4254,-36904809.165,17.7969462982,-21.6548294266,-9.31607393973
499.021099857,-117339817.697,-85134671.5987,-36938344.6903,17.8098168927,-21.6530544323,-9.31477829367
499.028999545,-117275679.201,-85212619.4894,-36971875.6045,17.8226795833,-21.6513395527,-9.31351242132
